Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313183.000000, 48.237837, 16.331943, 5343593.000000, 598898.437500, 276.000000, -0.397494, -1.226345, -74.256210
1508313184.000000, 48.237842, 16.331950, 5343593.500000, 598898.937500, 276.399994, -0.442125, -1.216946, -74.393944
1508313185.000000, 48.237837, 16.331952, 5343593.000000, 598899.062500, 277.799988, -0.397429, -1.232268, -74.267036
1508313186.000000, 48.237837, 16.331955, 5343593.000000, 598899.312500, 278.000000, -0.377003, -1.229333, -74.264015
1508313187.000000, 48.237837, 16.331958, 5343593.000000, 598899.562500, 278.000000, -0.388050, -1.222153, -74.395386
1508313188.000000, 48.237835, 16.331968, 5343592.500000, 598900.312500, 277.799988, -0.393641, -1.209725, -74.278893
1508313189.000000, 48.237833, 16.331978, 5343592.500000, 598901.062500, 277.600006, -0.380428, -1.214995, -74.258247
1508313190.000000, 48.237832, 16.331982, 5343592.500000, 598901.312500, 277.299988, -0.390909, -1.214623, -74.222977
1508313191.000000, 48.237835, 16.331988, 5343592.500000, 598901.812500, 276.899994, -0.403623, -1.188724, -74.270706
1508313192.000000, 48.237835, 16.331988, 5343592.500000, 598901.812500, 276.600006, -0.443560, -1.171014, -74.233475
1508313193.000000, 48.237833, 16.331995, 5343592.500000, 598902.312500, 276.100006, -0.365395, -1.175853, -74.204773
1508313194.000000, 48.237827, 16.332005, 5343592.000000, 598903.062500, 275.500000, -0.413748, -1.186643, -74.301956
1508313195.000000, 48.237818, 16.332018, 5343591.000000, 598904.062500, 274.799988, -0.419924, -1.167385, -74.183434
1508313196.000000, 48.237817, 16.332032, 5343591.000000, 598905.062500, 274.200012, -0.417064, -1.173046, -74.278076
1508313197.000000, 48.237815, 16.332042, 5343590.500000, 598905.812500, 273.600006, -0.475579, -1.202528, -74.032936
1508313198.000000, 48.237815, 16.332047, 5343590.500000, 598906.187500, 272.899994, -0.439530, -1.198130, -74.044289
1508313199.000000, 48.237818, 16.332045, 5343591.000000, 598906.062500, 272.100006, -0.482608, -1.169659, -74.112244
1508313200.000000, 48.237817, 16.332043, 5343591.000000, 598905.937500, 271.500000, -0.415761, -1.202068, -74.210945
1508313201.000000, 48.237810, 16.332045, 5343590.000000, 598906.062500, 270.799988, -0.399371, -1.211316, -74.246162
1508313203.000000, 48.237805, 16.332045, 5343589.500000, 598906.062500, 270.200012, -0.384857, -1.192392, -74.227158
1508313204.000000, 48.237805, 16.332040, 5343589.500000, 598905.687500, 269.600006, -0.426953, -1.200764, -74.136009
1508313205.000000, 48.237800, 16.332040, 5343589.000000, 598905.687500, 269.000000, -0.438982, -1.162247, -74.075317
1508313206.000000, 48.237802, 16.332032, 5343589.000000, 598905.062500, 268.700012, -0.383336, -1.202734, -74.162346
1508313207.000000, 48.237795, 16.332030, 5343588.500000, 598904.937500, 268.600006, -0.416455, -1.192892, -73.964981
1508313208.000000, 48.237790, 16.332035, 5343588.000000, 598905.375000, 268.100006, -0.369123, -1.209664, -74.200745
1508313209.000000, 48.237787, 16.332042, 5343587.500000, 598905.875000, 267.799988, -0.393745, -1.198911, -74.311615
1508313210.000000, 48.237782, 16.332045, 5343587.000000, 598906.125000, 267.600006, -0.431155, -1.192307, -74.118187
1508313210.000000, 48.237780, 16.332045, 5343586.500000, 598906.125000, 267.399994, -0.452011, -1.182149, -74.197395
1508313211.000000, 48.237773, 16.332045, 5343586.000000, 598906.125000, 267.200012, -0.392931, -1.186501, -74.262672
1508313212.000000, 48.237775, 16.332043, 5343586.000000, 598906.000000, 266.500000, -0.387306, -1.194542, -74.256805
1508313213.000000, 48.237775, 16.332047, 5343586.000000, 598906.250000, 265.799988, -0.378072, -1.188895, -74.254402
1508313214.000000, 48.237773, 16.332043, 5343586.000000, 598906.000000, 265.399994, -0.373796, -1.200950, -74.255432
1508313215.000000, 48.237772, 16.332043, 5343586.000000, 598906.000000, 264.600006, -0.413575, -1.233049, -74.207664
